source,target,synapse_count
10091,17616,3.0
10091,17757,44.0
10091,18133,1.0
10091,18940,26.0
10091,21641,1.0
10091,27620,3.0
10091,28663,18.0
10091,31334,41.0
10091,31440,1.0
10091,48633,17.0
10091,57245,29.0
10091,61011,26.0
10091,65465,2.0
10091,810029,4.0
10091,813858,1.0
10106,10001,5.0
10106,10010,108.0
10106,10184,18.0
10106,10246,9.0
10106,10315,6.0
10106,10584,2.0
10106,10671,6.0
10106,10923,31.0
10106,10957,1.0
10106,11133,1.0
10106,11205,4.0
10106,11334,1.0
10106,11391,1.0
10106,11572,2.0
10106,11782,5.0
10106,12053,2.0
10106,12129,1.0
10106,12405,20.0
10106,13114,2.0
10106,13794,2.0
10106,14387,1.0
10106,14899,2.0
10106,16931,9.0
10106,17144,1.0
10106,17757,37.0
10106,21804,1.0
10106,22034,1.0
10106,22328,1.0
10106,28663,8.0
10106,30480,3.0
10106,31334,1.0
10106,31362,6.0
10106,33474,3.0
10106,36102,2.0
10106,48633,5.0
10106,65465,2.0
10106,800014,1.0
10106,801577,1.0
10106,801984,5.0
10106,803420,6.0
10106,805966,1.0
10106,810081,1.0
10106,907684,1.0
10117,10001,1.0
10117,10052,13.0
10117,10106,2.0
10117,10146,4.0
10117,10283,1.0
10117,10315,31.0
10117,10584,4.0
10117,10671,2.0
10117,10923,55.0
10117,11011,17.0
10117,11133,8.0
10117,11205,13.0
10117,11334,1.0
10117,11361,5.0
10117,11397,5.0
10117,11572,4.0
10117,11782,2.0
10117,12041,1.0
10117,12053,3.0
10117,12129,2.0
10117,12215,1.0
10117,12614,19.0
10117,13600,1.0
10117,14277,4.0
10117,14899,7.0
10117,15323,1.0
10117,16931,23.0
10117,17757,151.0
10117,18940,1.0
10117,21128,1.0
10117,28663,15.0
10117,31334,1.0
10117,31362,10.0
10117,36102,1.0
10117,48633,7.0
10117,61011,6.0
10117,800014,1.0
10117,801943,4.0
10117,803420,28.0
10117,804978,8.0
10117,806128,2.0
10117,807678,3.0
10117,810029,1.0
10117,817729,1.0
10117,907684,5.0
10117,911199,8.0
10128,10001,77.0
10128,10010,88.0
10128,10052,24.0
10128,10106,76.0
10128,10117,157.0
10128,10143,1.0
10128,10146,56.0
10128,10246,12.0
10128,10257,50.0
10128,10277,53.0
10128,10283,8.0
10128,10570,7.0
10128,10584,21.0
10128,10728,31.0
10128,10923,1.0
10128,10925,14.0
10128,10957,1.0
10128,10992,1.0
10128,11391,1.0
10128,11397,31.0
10128,11507,2.0
10128,11572,16.0
10128,11782,5.0
10128,12053,10.0
10128,12129,3.0
10128,12614,66.0
10128,13114,3.0
10128,13263,2.0
10128,13578,1.0
10128,13600,5.0
10128,13825,2.0
10128,14277,14.0
10128,15261,31.0
10128,15323,13.0
10128,15331,1.0
10128,15336,15.0
10128,15665,3.0
10128,16445,1.0
10128,16644,14.0
10128,17284,1.0
10128,17527,21.0
10128,17584,11.0
10128,17616,1.0
10128,18716,1.0
10128,21641,2.0
10128,22309,1.0
10128,28620,3.0
10128,33474,30.0
10128,36717,1.0
10143,10001,1.0
10143,10052,1.0
10143,10128,3.0
10143,10150,1.0
10143,10283,1.0
10143,10297,1.0
10143,10925,3.0
10143,11011,1.0
10143,11101,1.0
10143,11272,2.0
10143,11361,1.0
10143,11391,1.0
10143,11397,3.0
10143,11462,1.0
10143,11572,1.0
10143,12053,2.0
10143,12129,2.0
10143,12857,4.0
10143,13600,1.0
10143,13654,1.0
10143,13825,2.0
10143,14277,1.0
10143,15331,3.0
10143,15336,4.0
10143,16855,1.0
10143,16983,1.0
10143,17527,2.0
10143,17584,1.0
10143,17616,2.0
10143,17757,1.0
10143,18090,1.0
10143,18716,3.0
10143,18959,2.0
10143,19634,1.0
10143,19668,10.0
10143,21251,2.0
10143,22309,1.0
10143,28620,1.0
10143,31440,1.0
10143,33474,1.0
10146,10001,3.0
10146,10010,41.0
10146,10091,1.0
10146,10106,2.0
10146,10257,19.0
10146,10277,41.0
10146,10297,1.0
10146,10584,2.0
10146,10923,1.0
10146,10925,1.0
10146,10992,2.0
10146,11272,1.0
10146,11361,2.0
10146,11397,2.0
10146,11826,1.0
10146,11832,2.0
10146,12184,5.0
10146,12215,3.0
10146,16445,1.0
10146,17616,1.0
10146,27620,1.0
10146,31440,1.0
10146,33474,1.0
10150,10001,1.0
10150,10957,1.0
10150,11687,1.0
10150,12184,1.0
10150,12628,1.0
10150,12771,1.0
10150,13317,10.0
10150,15514,3.0
10150,20831,5.0
10151,14063,1.0
10151,31334,1.0
10173,10001,116.0
10173,10010,4.0
10173,10106,5.0
10173,10257,2.0
10173,10277,7.0
10173,10283,99.0
10173,10297,7.0
10173,10580,1.0
10173,10584,160.0
10173,10588,5.0
10173,10728,1.0
10173,10923,86.0
10173,10937,1.0
10173,10957,2.0
10173,10992,3.0
10173,11101,2.0
10173,11133,12.0
10173,11257,6.0
10173,11272,6.0
10173,11334,37.0
10173,11353,49.0
10173,11361,16.0
10173,11507,13.0
10173,11687,17.0
10173,11826,17.0
10173,11832,20.0
10173,12041,30.0
10173,12184,5.0
10173,12215,50.0
10173,12275,6.0
10173,12419,22.0
10173,12628,14.0
10173,13256,7.0
10173,13794,6.0
10173,13815,1.0
10173,13825,28.0
10173,13995,3.0
10173,14091,2.0
10173,15665,4.0
10173,16445,3.0
10173,16459,26.0
10173,16482,1.0
10173,16855,20.0
10173,18090,1.0
10173,20269,4.0
10173,20338,7.0
10173,21813,12.0
10173,23590,1.0
10173,27620,6.0
10173,28620,3.0
10173,29523,18.0
10173,31784,9.0
10173,31964,2.0
10173,36717,5.0
10173,39064,10.0
10173,46221,1.0
10180,10001,2.0
10180,10091,54.0
10180,10151,64.0
10180,10283,4.0
10180,10440,226.0
10180,10580,39.0
10180,10584,3.0
10180,10588,1.0
10180,10649,5.0
10180,10671,26.0
10180,10689,1.0
10180,10992,8.0
10180,11011,2.0
10180,11133,54.0
10180,11272,2.0
10180,11334,84.0
10180,11353,1.0
10180,12041,4.0
10180,12184,29.0
10180,12215,6.0
10180,12419,35.0
10180,12628,53.0
10180,12771,3.0
10180,13263,1.0
10180,13578,3.0
10180,14793,1.0
10180,16445,6.0
10180,16983,3.0
10180,17284,20.0
10180,17416,3.0
10180,17757,1.0
10180,18940,1.0
10180,20338,1.0
10180,20831,1.0
10180,21641,2.0
10180,24115,1.0
10180,31334,3.0
10180,36102,3.0
10180,74105,3.0
10180,80419,5.0
10180,80724,11.0
10180,800014,4.0
10180,801143,16.0
10180,802444,1.0
10180,803126,3.0
10180,803702,3.0
10180,804185,1.0
10180,805849,18.0
10180,805963,3.0
10180,805966,20.0
10180,806465,10.0
10180,807245,4.0
10180,807678,2.0
10180,808085,7.0
10180,812693,2.0
10180,909325,6.0
10184,10091,1.0
10184,10143,15.0
10184,10180,1.0
10184,10283,3.0
10184,10297,1.0
10184,10434,7.0
10184,10580,2.0
10184,10588,54.0
10184,10649,4.0
10184,10923,1.0
10184,10924,1.0
10184,10957,10.0
10184,10992,1.0
10184,11205,1.0
10184,11272,51.0
10184,11334,18.0
10184,11353,41.0
10184,11507,1.0
10184,11826,1.0
10184,11832,5.0
10184,12041,5.0
10184,12053,2.0
10184,12184,2.0
10184,12215,1.0
10184,12419,6.0
10184,12628,1.0
10184,12771,2.0
10184,13815,3.0
10184,13919,16.0
10184,13995,1.0
10184,14017,8.0
