id,neuron_type,neurotransmitter,role,region,x,y,z
64108,AN08B099_h,ACH,inter,T1,432168.0,457176.0,530648.0
64767,Mi4,GABA,inter,brain,644960.0,108896.0,228016.0
64841,Tm37,GLUT,inter,brain,619760.0,100672.0,224040.0
65465,AN18B053,ACH,inter,T2,499304.0,384688.0,708088.0
66375,Tm5c,GLUT,inter,brain,585704.0,289320.0,170840.0
67639,Dm11,GLUT,inter,brain,607000.0,96888.0,222632.0
67899,Dm8a,GLUT,inter,brain,170128.0,247488.0,165888.0
68582,Dm11,GLUT,inter,brain,604920.0,92584.0,207280.0
69912,Dm9,GLUT,inter,brain,596832.0,105904.0,212352.0
70149,MeTu3c,ACH,inter,brain,155472.0,228864.0,182672.0
72285,Mi4,GABA,inter,brain,611320.0,95784.0,224168.0
73789,Mi1,ACH,inter,brain,666688.0,116672.0,265712.0
74105,AN17B005,GABA,inter,T2,497928.0,415368.0,715280.0
74829,Dm11,GLUT,inter,brain,617488.0,102976.0,214240.0
75080,Mi4,GABA,inter,brain,620936.0,103440.0,225304.0
75150,L3,ACH,inter,brain,637768.0,144848.0,174792.0
76897,MeTu3b,ACH,inter,brain,151392.0,225088.0,181448.0
76904,Lai,GLUT,inter,brain,117184.0,150416.0,221184.0
79493,Tm5b,ACH,inter,brain,610336.0,112896.0,228576.0
79568,MeTu3c,ACH,inter,brain,166496.0,273936.0,180304.0
79651,Dm8a,GLUT,inter,brain,163712.0,238624.0,166864.0
80419,AN08B101,ACH,inter,T1,428880.0,451936.0,524480.0
80514,Cm5,GABA,inter,brain,155520.0,231696.0,182832.0
80529,L3,ACH,inter,brain,690272.0,153824.0,193712.0
80724,AN08B101,ACH,inter,T1,444448.0,444144.0,513472.0
80896,Dm8a,GLUT,inter,brain,596768.0,105952.0,228912.0
81808,Dm11,GLUT,inter,brain,156544.0,168352.0,179408.0
82125,Dm8a,GLUT,inter,brain,183952.0,249904.0,166656.0
82678,Mi4,GABA,inter,brain,626072.0,98736.0,239272.0
82900,AN08B097,ACH,inter,T1,423776.0,445584.0,493088.0
83558,Mi4,GABA,inter,brain,616048.0,98272.0,231040.0
89795,Mi9,GLUT,inter,brain,596664.0,288640.0,167496.0
90293,Dm8a,GLUT,inter,brain,164656.0,188896.0,172576.0
91643,Mi10,ACH,inter,brain,611120.0,101952.0,219440.0
91784,Tm5c,GLUT,inter,brain,640136.0,104848.0,231632.0
92772,Tm3,ACH,inter,brain,625936.0,102672.0,234720.0
93013,C2,GABA,inter,brain,633792.0,144424.0,310288.0
94054,Tm37,GLUT,inter,brain,620704.0,108736.0,220832.0
97194,T1,HIST,inter,brain,695008.0,132928.0,276688.0
97316,L3,ACH,inter,brain,27536.0,217088.0,253008.0
