source,target,synapse_count
3486381,14333371,5.0
3486381,14333495,48.0
3486381,15766806,21.0
3486381,16045758,3.0
3486381,17147698,1.0
3538129,3712893,1.0
3538129,4780707,4.0
3538129,5118060,9.0
3538129,5963873,4.0
3538129,6451332,7.0
3538129,6494274,1.0
3538129,8111135,3.0
3538129,8542422,1.0
3538129,9078240,1.0
3538129,9447255,6.0
3538129,10543751,1.0
3538129,10958210,3.0
3538129,11193510,1.0
3538129,11543212,1.0
3538129,11605861,3.0
3538129,12840470,16.0
3538129,16386470,1.0
3538129,16848475,7.0
3712893,2439134,3.0
3712893,3794023,1.0
3712893,4279887,2.0
3712893,4391317,5.0
3712893,4422289,9.0
3712893,4635057,2.0
3712893,5118060,4.0
3712893,5938794,5.0
3712893,6494382,1.0
3712893,7092086,1.0
3712893,7388340,1.0
3712893,8111135,2.0
3712893,8177199,15.0
3712893,8203947,2.0
3712893,8262372,16.0
3712893,8293958,1.0
3712893,8542422,2.0
3712893,10018260,2.0
3712893,10540188,28.0
3712893,10955244,6.0
3712893,10958210,6.0
3712893,11193510,8.0
3712893,11543212,2.0
3712893,11605861,4.0
3712893,12138418,8.0
3712893,12839441,1.0
3712893,12840470,15.0
3712893,12948470,1.0
3712893,13206239,2.0
3712893,14333371,3.0
3712893,14461238,1.0
3712893,14617508,1.0
3712893,15766806,1.0
3712893,15825861,16.0
3712893,16444544,1.0
3712893,16848475,2.0
3712893,17420035,2.0
3712893,18566501,4.0
3794023,2439134,6.0
3794023,3928574,2.0
3794023,3928652,2.0
3794023,3946364,16.0
3794023,5938794,2.0
3794023,10702736,1.0
3794023,12299621,3.0
3794023,14451162,1.0
3794023,16045758,1.0
3946364,7388340,1.0
3946364,9015745,7.0
3946364,11013351,2.0
3946364,11409587,4.0
3946364,13197236,1.0
3946364,14000746,2.0
3946364,15568333,1.0
3946364,16089743,1.0
3946364,17176767,15.0
4134539,5321459,1.0
4134539,5874480,1.0
4134539,7187384,3.0
4134539,8262372,7.0
4134539,11017761,10.0
4134539,11409587,1.0
4134539,13197236,1.0
4134539,14082322,12.0
4134539,14540633,2.0
4134539,16444552,2.0
4134539,17016974,12.0
4134539,17147698,6.0
4228119,2439134,1.0
4228119,4391317,3.0
4228119,4473922,8.0
4228119,5874480,1.0
4228119,5963873,1.0
4228119,8034919,1.0
4228119,8118947,3.0
4228119,9078240,1.0
4228119,9141404,4.0
4228119,9787933,1.0
4228119,9983417,1.0
4228119,11018254,11.0
4228119,11257084,2.0
4228119,11600886,19.0
4228119,11703922,7.0
4228119,12138418,1.0
4228119,12299621,1.0
4228119,13197236,2.0
4228119,14000746,2.0
4228119,14082322,6.0
4228119,14313750,11.0
4228119,14540633,11.0
4228119,15343835,3.0
4228119,15741865,12.0
4228119,15825861,3.0
4228119,16089743,2.0
4228119,16386470,2.0
4228119,16442113,3.0
4228119,16444552,3.0
4228119,16475849,5.0
4228119,16823703,1.0
4228119,16868923,3.0
4228119,17013073,1.0
4228119,17016974,5.0
4228119,17047087,1.0
4228119,18062678,19.0
4279887,4635057,5.0
4279887,4926999,6.0
4279887,5118060,1.0
4279887,5289042,5.0
4279887,5938794,3.0
4279887,7187384,1.0
4279887,7582412,1.0
4279887,8118929,1.0
4279887,9445876,10.0
4279887,9747418,8.0
4279887,9927082,1.0
4279887,11144258,1.0
4279887,12745771,1.0
4279887,12948470,3.0
4279887,14461238,1.0
4279887,16098538,11.0
4279887,19611917,2.0
4391317,2439134,1.0
4391317,4228119,1.0
4391317,5874480,3.0
4391317,5938794,2.0
4391317,5963873,1.0
4391317,8034919,10.0
4391317,9015745,1.0
4391317,9078240,1.0
4391317,9141404,2.0
4391317,10543751,1.0
4391317,11013351,1.0
4391317,11018254,14.0
4391317,11600886,32.0
4391317,11703922,3.0
4391317,12138418,6.0
4391317,12299621,1.0
4391317,13197236,1.0
4391317,13206239,1.0
4391317,14000746,4.0
4391317,14313750,32.0
4391317,14451162,2.0
4391317,15343835,1.0
4391317,15741865,1.0
4391317,15766806,2.0
4391317,16089743,3.0
4391317,16442113,1.0
4391317,16868923,3.0
4391317,17013073,1.0
4391317,17016974,8.0
4391317,18062678,21.0
4391317,19271710,1.0
4422289,8069365,2.0
4422289,8069478,2.0
4422289,8177199,9.0
4422289,8203947,6.0
4422289,10018260,6.0
4422289,11011058,2.0
4422289,11216417,7.0
4422289,11257084,2.0
4422289,11605861,2.0
4422289,12138418,2.0
4422289,12839441,1.0
4422289,14617508,2.0
4422289,16444544,1.0
4422289,16445073,1.0
4422289,16978882,3.0
4422289,17334530,1.0
4433960,2568465,1.0
4433960,2797480,5.0
4433960,4422289,2.0
4433960,5118060,1.0
4433960,8203947,3.0
4433960,9409359,5.0
4433960,9589146,1.0
4433960,10540188,1.0
4433960,10875625,4.0
4433960,11216417,1.0
4433960,11257084,1.0
4433960,11543212,1.0
4433960,12840470,7.0
4433960,14333495,1.0
4433960,14818307,6.0
4433960,16445073,1.0
4473922,2439134,1.0
4473922,4228119,3.0
4473922,4391317,3.0
4473922,5874480,1.0
4473922,5938794,1.0
4473922,7026287,4.0
4473922,8118947,2.0
4473922,9527522,1.0
4473922,10543751,2.0
4473922,11013351,1.0
4473922,11018254,10.0
4473922,11600886,26.0
4473922,12475432,1.0
4473922,13197236,2.0
4473922,14000746,3.0
4473922,14133114,5.0
4473922,14313750,14.0
4473922,14540633,8.0
4473922,15741865,1.0
4473922,15825861,1.0
4473922,16089743,1.0
4473922,16442113,1.0
4473922,16444552,1.0
4473922,16868923,1.0
4473922,17013073,3.0
4473922,17016974,7.0
4473922,18062678,24.0
4473922,19271710,1.0
4607160,3946364,3.0
4607160,6597872,1.0
4607160,9015745,1.0
4607160,11018254,6.0
4607160,11600886,18.0
4607160,13197236,2.0
4607160,14000746,20.0
4607160,14313750,2.0
4607160,15741865,1.0
4607160,16089743,3.0
4607160,17016974,17.0
4607160,17176767,1.0
4635057,4279887,3.0
4635057,4607160,1.0
4635057,4636432,3.0
4635057,4780707,1.0
4635057,4926999,7.0
4635057,5118060,1.0
4635057,5289042,4.0
4635057,5938794,1.0
4635057,7187384,13.0
4635057,7582412,1.0
4635057,7582489,15.0
4635057,9445876,7.0
4635057,9927082,1.0
4635057,11144258,4.0
4635057,12745771,18.0
4635057,12948470,5.0
4635057,14333371,3.0
4635057,14818307,1.0
4635057,16089743,1.0
4635057,16098538,2.0
4635057,19611917,7.0
4636432,2379529,1.0
4636432,2439134,2.0
4636432,4391317,2.0
4636432,4422289,1.0
4636432,4635057,10.0
4636432,4637677,2.0
4636432,4926999,3.0
4636432,5118060,1.0
4636432,7582412,1.0
4636432,8704079,1.0
4636432,9445876,3.0
4636432,9447255,2.0
4636432,10958210,5.0
4636432,11193510,6.0
4636432,12745771,1.0
4636432,14333371,2.0
4636432,17420035,2.0
4637677,4780707,1.0
4637677,5938794,1.0
4637677,5963873,1.0
4637677,8069478,3.0
4637677,12840470,1.0
4637677,15343835,2.0
4637677,16386470,1.0
4637677,17047087,8.0
4721538,8069365,7.0
4721538,8203947,8.0
