id,neuron_type,neurotransmitter,role,region,x,y,z
10955244,LHN,unknown,inter,left,0.0,0.0,0.0
10958210,unk,unknown,inter,left,0.0,0.0,0.0
11004239,LHN;CN,unknown,inter,left,0.0,0.0,0.0
11011058,CN,unknown,inter,left,0.0,0.0,0.0
11013351,CN,unknown,inter,left,0.0,0.0,0.0
11017761,MBON,unknown,inter,left,0.0,0.0,0.0
11018254,CN,unknown,inter,left,0.0,0.0,0.0
11123016,unk,unknown,inter,left,0.0,0.0,0.0
11144258,unk,unknown,inter,left,0.0,0.0,0.0
11178891,LHN;CN,unknown,inter,right,0.0,0.0,0.0
11193510,LHN,unknown,inter,left,0.0,0.0,0.0
11216417,CN,unknown,inter,left,0.0,0.0,0.0
11257084,LHN;CN,unknown,inter,left,0.0,0.0,0.0
11329998,CN,unknown,inter,left,0.0,0.0,0.0
11348509,unk,unknown,inter,left,0.0,0.0,0.0
11409587,CN,unknown,inter,left,0.0,0.0,0.0
11543212,mPN-olfac,unknown,inter,right,0.0,0.0,0.0
11600886,CN,unknown,inter,left,0.0,0.0,0.0
11605861,LHN,unknown,inter,right,0.0,0.0,0.0
11703922,LHN;CN,unknown,inter,left,0.0,0.0,0.0
11871574,CN,unknown,inter,left,0.0,0.0,0.0
12138418,LHN,unknown,inter,left,0.0,0.0,0.0
12299621,LHN;CN,unknown,inter,left,0.0,0.0,0.0
12336493,unk,unknown,inter,right,0.0,0.0,0.0
12475432,MBIN,unknown,inter,left,0.0,0.0,0.0
12476851,LHN;CN,unknown,inter,left,0.0,0.0,0.0
12745771,LHN,unknown,inter,left,0.0,0.0,0.0
12839441,LHN;CN,unknown,inter,left,0.0,0.0,0.0
12840470,unk,unknown,inter,left,0.0,0.0,0.0
12948470,LHN,unknown,inter,left,0.0,0.0,0.0
13197236,CN,unknown,inter,left,0.0,0.0,0.0
13199414,FFN,unknown,inter,left,0.0,0.0,0.0
13206239,LHN,unknown,inter,left,0.0,0.0,0.0
14000746,CN,unknown,inter,left,0.0,0.0,0.0
14082322,MBON-app,unknown,inter,left,0.0,0.0,0.0
14133114,LHN;CN,unknown,inter,left,0.0,0.0,0.0
14313750,CN,unknown,inter,left,0.0,0.0,0.0
14319185,LHN;CN,unknown,inter,left,0.0,0.0,0.0
