source,target,synapse_count
720575940605095346,720575940627469394,7.0
720575940605095346,720575940627490459,6.0
720575940605095346,720575940627585874,21.0
720575940605095346,720575940627646026,6.0
720575940605095346,720575940627939177,7.0
720575940605095346,720575940627962844,11.0
720575940605095346,720575940628014391,14.0
720575940605095346,720575940628033944,6.0
720575940605095346,720575940628125339,13.0
720575940605095346,720575940628125775,5.0
720575940605095346,720575940628200551,25.0
720575940605095346,720575940628370732,7.0
720575940605095346,720575940628404227,9.0
720575940605095346,720575940629584887,23.0
720575940605095346,720575940629701737,23.0
720575940605095346,720575940630160384,15.0
720575940605095346,720575940630258003,5.0
720575940605095346,720575940630749523,9.0
720575940605095346,720575940630907434,6.0
720575940605095346,720575940630934595,8.0
720575940605095346,720575940631328738,5.0
720575940605095346,720575940631447879,7.0
720575940605095346,720575940631469610,9.0
720575940605095346,720575940632043320,7.0
720575940605095346,720575940632043576,29.0
720575940605095346,720575940632509711,16.0
720575940605095346,720575940632580503,9.0
720575940605095346,720575940632998136,10.0
720575940605095346,720575940633401199,17.0
720575940605095346,720575940633483444,9.0
720575940605095346,720575940633714402,5.0
720575940605095346,720575940634453093,8.0
720575940605095346,720575940635330204,13.0
720575940605095346,720575940635749751,16.0
720575940605095346,720575940635831438,8.0
720575940605095346,720575940635863214,26.0
720575940605095346,720575940636030185,22.0
720575940605095346,720575940636871246,5.0
720575940605095346,720575940637299172,15.0
720575940605095346,720575940637471039,9.0
720575940605095346,720575940637755507,8.0
720575940605095346,720575940640597237,7.0
720575940605095346,720575940640616253,6.0
720575940605095346,720575940640945115,14.0
720575940605095346,720575940641629344,9.0
720575940605095346,720575940645497140,8.0
720575940605095346,720575940647029044,11.0
720575940605095346,720575940649809273,5.0
720575940605095346,720575940651593974,14.0
720575940605095346,720575940654490785,5.0
720575940605095346,720575940660314241,24.0
720575940605214636,720575940602380768,24.0
720575940605214636,720575940602879404,15.0
720575940605214636,720575940603533246,27.0
720575940605214636,720575940605676210,9.0
720575940605214636,720575940609260494,5.0
720575940605214636,720575940609387100,11.0
720575940605214636,720575940609522382,12.0
720575940605214636,720575940609633230,5.0
720575940605214636,720575940609673369,6.0
720575940605214636,720575940610088883,9.0
720575940605214636,720575940610332024,8.0
720575940605214636,720575940610669042,14.0
720575940605214636,720575940611644529,6.0
720575940605214636,720575940611864243,12.0
720575940605214636,720575940612054425,12.0
720575940605214636,720575940619130096,6.0
720575940605214636,720575940620183973,5.0
720575940605214636,720575940620304110,9.0
720575940605214636,720575940620866036,20.0
720575940605214636,720575940620928647,5.0
720575940605214636,720575940622657684,39.0
720575940605214636,720575940624134296,21.0
720575940605214636,720575940624504212,6.0
720575940605214636,720575940625146122,34.0
720575940605214636,720575940625345328,75.0
720575940605214636,720575940626243614,6.0
720575940605214636,720575940626381882,13.0
720575940605214636,720575940627015196,31.0
720575940605214636,720575940627218882,20.0
720575940605214636,720575940627490459,5.0
720575940605214636,720575940627646026,12.0
720575940605214636,720575940627939177,11.0
720575940605214636,720575940628125339,23.0
720575940605214636,720575940628404227,8.0
720575940605214636,720575940631328738,21.0
720575940605214636,720575940632043576,27.0
720575940605214636,720575940633401199,8.0
720575940605214636,720575940633483444,19.0
720575940605214636,720575940634453093,15.0
720575940605214636,720575940635749751,22.0
720575940605214636,720575940636030185,13.0
720575940605214636,720575940651593974,9.0
720575940605214636,720575940660314241,7.0
720575940605676210,720575940617044948,9.0
720575940605676210,720575940619729286,8.0
720575940605676210,720575940622657684,9.0
720575940605758142,720575940609282825,163.0
720575940605758142,720575940614956072,43.0
720575940605758142,720575940616486230,119.0
720575940605758142,720575940621551854,22.0
720575940605758142,720575940623650823,23.0
720575940605758142,720575940624330281,58.0
720575940605758142,720575940633294796,38.0
720575940605758142,720575940634545890,146.0
720575940605758142,720575940640803200,9.0
720575940605758142,720575940646576436,65.0
720575940605781932,720575940628065352,5.0
720575940606224318,720575940615948610,12.0
720575940606224318,720575940623426854,5.0
720575940606224318,720575940624816115,6.0
720575940606224318,720575940647755641,41.0
720575940607749077,720575940620943969,7.0
720575940607749077,720575940623203805,67.0
720575940607749077,720575940631842360,46.0
720575940607775106,720575940618342966,6.0
720575940608336514,720575940607749077,6.0
720575940608336514,720575940613087218,91.0
720575940608336514,720575940613183717,7.0
720575940608336514,720575940615723314,13.0
720575940608336514,720575940618089851,5.0
720575940608336514,720575940618969758,5.0
720575940608336514,720575940623579063,23.0
720575940608336514,720575940623764967,10.0
720575940608336514,720575940625779642,33.0
720575940608336514,720575940626295562,6.0
720575940608336514,720575940627290108,5.0
720575940608336514,720575940628200551,11.0
720575940608336514,720575940630311383,5.0
720575940608336514,720575940635967886,20.0
720575940608336514,720575940637569870,11.0
720575940608336514,720575940637755507,5.0
720575940608336514,720575940640945115,5.0
720575940608431625,720575940614710509,48.0
720575940608431625,720575940615528678,10.0
720575940608431625,720575940617492821,6.0
720575940608431625,720575940618932763,7.0
720575940608431625,720575940621000831,9.0
720575940608431625,720575940626243614,12.0
720575940608431625,720575940626977947,7.0
720575940608431625,720575940627083397,41.0
720575940608431625,720575940628200551,38.0
720575940608431625,720575940630311383,31.0
720575940608431625,720575940631842360,13.0
720575940608431625,720575940635967886,6.0
720575940608615363,720575940634710629,5.0
720575940608716809,720575940613527761,10.0
720575940608716809,720575940613838289,12.0
720575940608716809,720575940618574749,30.0
720575940608716809,720575940624986407,5.0
720575940608716809,720575940627096957,6.0
720575940608716809,720575940628125715,5.0
720575940608716809,720575940629701737,8.0
720575940608716809,720575940633293025,12.0
720575940608716809,720575940638803790,21.0
720575940609073347,720575940615930299,17.0
720575940609073347,720575940618089851,5.0
720575940609073347,720575940619109915,5.0
720575940609073347,720575940620835327,6.0
720575940609073347,720575940621457079,11.0
720575940609073347,720575940625887631,11.0
720575940609073347,720575940628404227,5.0
720575940609073347,720575940628802888,15.0
720575940609073347,720575940630086698,32.0
720575940609073347,720575940630095045,5.0
720575940609073347,720575940632472850,7.0
720575940609073347,720575940633350812,7.0
720575940609073347,720575940636871246,9.0
720575940609073347,720575940641629344,5.0
720575940609190866,720575940613583001,21.0
720575940609282825,720575940605758142,668.0
720575940609282825,720575940614956072,56.0
720575940609282825,720575940616486230,145.0
720575940609282825,720575940621551854,34.0
720575940609282825,720575940623650823,16.0
720575940609282825,720575940624330281,14.0
720575940609282825,720575940627349860,42.0
720575940609282825,720575940633294796,295.0
720575940609282825,720575940634545890,35.0
720575940609282825,720575940640803200,729.0
720575940609282825,720575940646576436,462.0
720575940609387100,720575940619109915,32.0
720575940609387100,720575940626295562,25.0
720575940609387100,720575940627290108,8.0
720575940609387100,720575940629192975,5.0
720575940609387100,720575940637218672,19.0
720575940609522382,720575940616538944,5.0
720575940609522382,720575940620866036,10.0
720575940609522382,720575940624134296,16.0
720575940609522382,720575940627218882,13.0
720575940609522382,720575940627490459,6.0
720575940609673369,720575940603533246,20.0
720575940609673369,720575940610505006,9.0
720575940609673369,720575940611644529,22.0
720575940609673369,720575940612054425,7.0
720575940609673369,720575940617492821,12.0
720575940609673369,720575940618263174,9.0
720575940609673369,720575940618932763,9.0
720575940609673369,720575940620835327,7.0
720575940609673369,720575940620866036,14.0
720575940609673369,720575940622657684,6.0
720575940609673369,720575940624504212,22.0
720575940609673369,720575940625345328,27.0
720575940609673369,720575940626243614,7.0
720575940609673369,720575940627015196,21.0
720575940609673369,720575940627111752,9.0
720575940609673369,720575940628125339,12.0
720575940609673369,720575940630086698,6.0
720575940609673369,720575940631328738,26.0
720575940609673369,720575940631842360,6.0
720575940609673369,720575940632043576,22.0
720575940609673369,720575940635749751,11.0
720575940609673369,720575940654490785,7.0
720575940609891886,720575940616486230,9.0
720575940609891886,720575940617470932,15.0
720575940609891886,720575940621551854,7.0
720575940609891886,720575940622574532,14.0
720575940609957315,720575940608716809,23.0
720575940609957315,720575940613527761,39.0
720575940609957315,720575940613838289,56.0
720575940609957315,720575940618574749,71.0
720575940609957315,720575940621902085,6.0
720575940609957315,720575940625454162,10.0
720575940609957315,720575940625809539,19.0
720575940609957315,720575940627469394,21.0
720575940609957315,720575940628125715,5.0
720575940609957315,720575940630164992,6.0
720575940609957315,720575940630907434,34.0
720575940609957315,720575940632985261,22.0
720575940609957315,720575940633228172,43.0
720575940609957315,720575940633293025,6.0
720575940609957315,720575940637218672,15.0
720575940609957315,720575940638803790,53.0
720575940609957315,720575940644467360,17.0
720575940610048981,720575940627480586,9.0
720575940610048981,720575940635468991,13.0
720575940610088883,720575940605214636,8.0
720575940610088883,720575940609073347,19.0
720575940610088883,720575940611864243,18.0
720575940610088883,720575940612054425,5.0
720575940610088883,720575940615528678,5.0
720575940610088883,720575940618342966,21.0
720575940610088883,720575940620183973,12.0
720575940610088883,720575940620622452,27.0
720575940610088883,720575940621148660,23.0
720575940610088883,720575940621555603,6.0
720575940610088883,720575940625345328,18.0
720575940610088883,720575940626243614,6.0
720575940610088883,720575940626592387,7.0
720575940610088883,720575940628404227,8.0
720575940610088883,720575940628802888,5.0
720575940610088883,720575940632985261,15.0
720575940610088883,720575940649809273,10.0
720575940610332024,720575940605095346,6.0
720575940610332024,720575940617044948,11.0
720575940610332024,720575940617492821,9.0
720575940610332024,720575940625345328,12.0
720575940610332024,720575940627015196,6.0
720575940610332024,720575940628200551,6.0
720575940610332024,720575940635831438,8.0
720575940610348773,720575940640945115,6.0
720575940610450418,720575940619191966,7.0
720575940610505006,720575940611644529,17.0
720575940610505006,720575940619191966,20.0
720575940610605747,720575940603533246,6.0
720575940610605747,720575940605214636,18.0
720575940610605747,720575940618342966,12.0
720575940610605747,720575940620537153,13.0
720575940610605747,720575940620835327,17.0
720575940610605747,720575940624504212,18.0
720575940610605747,720575940625345328,16.0
720575940610605747,720575940628033944,14.0
720575940610669042,720575940605214636,5.0
720575940610669042,720575940611644529,6.0
720575940610669042,720575940618574749,11.0
720575940610669042,720575940622917381,5.0
720575940610669042,720575940627015196,5.0
720575940610669042,720575940627096957,69.0
720575940610669042,720575940629701737,51.0
720575940610669042,720575940632043576,8.0
720575940610669042,720575940634453093,6.0
720575940610669042,720575940637471039,5.0
720575940610677828,720575940609260494,41.0
720575940610677828,720575940610679876,161.0
720575940610677828,720575940612036837,7.0
720575940610677828,720575940624966840,41.0
