id,neuron_type,neurotransmitter,role,region,x,y,z
720575940625440019,unknown,ACH,inter,IPS,577456.0,190380.0,182080.0
720575940625454162,AN,ACH,sensory,GNG,535060.0,336624.0,231920.0
720575940625561406,unknown,ACH,inter,IPS,482168.0,239236.0,154240.0
720575940625641402,unknown,ACH,motor-related,GNG,418680.0,304224.0,170760.0
720575940625653029,unknown_sensory,ACH,sensory,GNG,480032.0,333900.0,208080.0
720575940625681681,unknown,GLUT,inter,LH,701292.0,176536.0,118200.0
720575940625737776,unknown,GLUT,inter,GNG,425272.0,331060.0,107760.0
720575940625766960,unknown,ACH,inter,AVLP,702028.0,241572.0,55200.0
720575940625779642,unknown,ACH,inter,AVLP,715996.0,163780.0,113880.0
720575940625780836,unknown,ACH,inter,AVLP,339516.0,250120.0,104520.0
720575940625809539,AN,ACH,sensory,SAD.VES,528560.0,341196.0,226320.0
720575940625887631,unknown,GABA,inter,WED.AVLP,651568.0,322832.0,101600.0
720575940625898121,unknown,ACH,inter,LH.SLP,653616.0,150948.0,172880.0
720575940626002575,unknown,ACH,inter,AVLP,692500.0,250524.0,43960.0
720575940626052647,unknown,ACH,inter,WED.AVLP,332016.0,215820.0,110040.0
720575940626068569,unknown,GABA,motor-related,GNG.IPS,635488.0,341108.0,171360.0
720575940626118021,optic_lobe_intrinsic,ACH,inter,ME.LO,201824.0,198016.0,215640.0
720575940626243614,unknown,ACH,inter,AVLP.GOR,636320.0,229424.0,202880.0
720575940626246525,unknown,ACH,inter,PVLP,332076.0,213060.0,104760.0
720575940626279742,unknown,ACH,inter,GNG,482232.0,353580.0,135120.0
720575940626295562,unknown,ACH,inter,PVLP.AVLP,699968.0,275040.0,70360.0
720575940626326121,LHLN,unknown,inter,LH,715568.0,184972.0,110600.0
720575940626381882,unknown,GABA,inter,WED.AMMC,661112.0,312856.0,108000.0
720575940626482521,unknown,ACH,inter,LH.SMP,717280.0,143328.0,112000.0
720575940626524702,unknown,GLUT,motor-related,IPS.GNG,429760.0,324048.0,88880.0
720575940626592387,unknown,GABA,inter,SAD.AMMC,659944.0,318244.0,112560.0
720575940626792025,LHLN,GABA,inter,LH,713052.0,188136.0,110840.0
720575940626839464,mechanosensory,ACH,sensory,GNG,587460.0,376860.0,117880.0
720575940626887080,unknown,ACH,inter,PVLP.AVLP,341268.0,184420.0,136960.0
720575940626952537,unknown,GABA,inter,GNG,408288.0,305056.0,173960.0
720575940626977947,unknown,ACH,inter,PVLP,623016.0,275080.0,206880.0
720575940626993694,unknown,ACH,motor-related,GNG,426768.0,326696.0,176840.0
720575940627001637,unknown,unknown,motor-related,IPS,480316.0,277984.0,162360.0
720575940627015196,unknown,GABA,motor-related,GNG,511076.0,353388.0,195280.0
720575940627083397,unknown,ACH,inter,AVLP.PVLP,697204.0,287112.0,68360.0
720575940627088698,optic_lobe_intrinsic,GABA,inter,ME,242464.0,204316.0,221360.0
720575940627096957,unknown,GABA,inter,GNG,619880.0,344720.0,85480.0
720575940627111752,unknown,GABA,inter,AVLP,632800.0,218268.0,40520.0
720575940627174404,unknown,ACH,inter,AVLP,717840.0,213744.0,73520.0
720575940627184427,unknown,GLUT,inter,GNG.IPS,536864.0,336640.0,209000.0
720575940627218882,unknown,GABA,inter,WED.AMMC,373972.0,297340.0,123000.0
720575940627236629,unknown,unknown,inter,GNG,639308.0,326952.0,178120.0
720575940627263765,unknown,GLUT,inter,GNG.IPS,531520.0,333216.0,215840.0
720575940627290108,unknown,ACH,inter,PVLP.AVLP,702944.0,263008.0,64280.0
720575940627349860,unknown,SER,inter,AL,434092.0,254920.0,85480.0
720575940627372290,optic_lobe_intrinsic,GABA,inter,ME,216380.0,199892.0,201280.0
720575940627384049,unknown,ACH,inter,SLP.SMP,605892.0,95464.0,135280.0
720575940627469394,unknown,ACH,inter,SAD.GNG,410768.0,259432.0,79360.0
720575940627480586,ALPN,ACH,inter,AL.MB_CA,455879.0,278883.0,31840.0
720575940627490459,unknown,ACH,motor-related,AMMC,523040.0,329124.0,208840.0
720575940627585874,unknown,GABA,inter,SAD,384024.0,299540.0,133200.0
720575940627646026,unknown,GABA,inter,SAD,639620.0,320604.0,105560.0
720575940627782148,Kenyon_Cell,ACH,inter,MB_CA.MB_VL,629316.0,173588.0,143760.0
720575940627812168,unknown,ACH,motor-related,GNG,502784.0,364152.0,188880.0
720575940627848196,unknown,ACH,inter,AVLP.ICL,714568.0,244364.0,58880.0
720575940627939177,unknown,GABA,inter,SAD,381408.0,294368.0,130720.0
720575940627962844,unknown,ACH,inter,WED.AVLP,331644.0,210644.0,112240.0
720575940627982469,visual,ACH,sensory,LA,230852.0,193812.0,143480.0
720575940628014391,unknown,GABA,inter,SAD.AMMC,433728.0,336444.0,105920.0
720575940628033944,unknown,ACH,inter,AVLP,338720.0,245908.0,105960.0
720575940628065352,optic_lobe_intrinsic,ACH,inter,ME.LO,248736.0,202800.0,221640.0
720575940628125339,unknown,GABA,inter,WED,378816.0,299604.0,132280.0
720575940628125715,unknown,ACH,motor-related,GNG,423604.0,304972.0,188880.0
720575940628125775,unknown,ACH,inter,AVLP,330524.0,205092.0,114600.0
720575940628129129,unknown,GLUT,inter,GNG,399552.0,309504.0,156760.0
720575940628132745,unknown,ACH,motor-related,SPS.GNG,596056.0,194964.0,195440.0
720575940628200551,unknown,ACH,inter,PVLP.AVLP,708452.0,221396.0,63760.0
720575940628306114,unknown,GLUT,inter,GNG,511328.0,368928.0,177480.0
720575940628345610,unknown,ACH,motor-related,GNG,651240.0,333368.0,113320.0
720575940628370732,unknown,ACH,inter,WED,377664.0,163360.0,213880.0
720575940628378440,unknown,ACH,motor-related,GNG,522236.0,368488.0,169880.0
720575940628404227,unknown,ACH,inter,WED.AVLP,625348.0,238260.0,206400.0
720575940628441862,unknown,GLUT,motor-related,GNG,420428.0,321332.0,116080.0
720575940628478449,unknown,ACH,inter,GNG,470544.0,300168.0,105880.0
720575940628635751,AN,ACH,sensory,GNG.AVLP,554048.0,347384.0,209320.0
720575940628792323,LHLN,GLUT,inter,LH,712356.0,189156.0,112200.0
720575940628802888,unknown,GABA,inter,PVLP,687072.0,184908.0,194800.0
720575940628834151,unknown,GLUT,inter,IPS,471456.0,211168.0,226600.0
720575940628862268,unknown,ACH,inter,GNG.IPS,616832.0,273152.0,209320.0
720575940628882450,ALPN,ACH,inter,AL.LH,647032.0,232762.0,25200.0
720575940628891396,unknown,ACH,inter,VES.GNG,489600.0,224608.0,22280.0
720575940628934403,unknown,ACH,inter,LH.SLP,702624.0,171820.0,122920.0
720575940628954954,unknown,ACH,inter,GNG,413828.0,307756.0,109200.0
720575940628958711,mechanosensory,unknown,sensory,GNG,579264.0,364812.0,122320.0
720575940628998659,brain_motor_neuron,unknown,motor-related,GNG,414272.0,312640.0,134800.0
720575940629123454,unknown,GLUT,inter,IPS,469184.0,272692.0,159680.0
720575940629192975,unknown,GABA,inter,AVLP,650504.0,215404.0,40080.0
720575940629239934,unknown,GABA,inter,GNG.VES,507484.0,343012.0,178400.0
720575940629244154,unknown,GLUT,inter,SLP,691232.0,125376.0,163760.0
